,City Name,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,City ID,DateTime,Country
414,siguiri,11,-9,78.42,79.0,99.0,8.55,2415703,1627132840,GN
415,golden,52,-117,36.27,64.0,35.0,4.0,5883102,1627132840,CA
416,bacalar,19,-88,77.02,84.0,79.0,2.04,3532465,1627132840,MX
417,la plata,38,-77,74.26,87.0,90.0,0.0,4788822,1627132840,US
418,abu dhabi,22,53,111.4,18.0,8.0,3.09,290400,1627132841,AE
419,gonda,27,82,89.33,64.0,41.0,14.07,1266617,1627132841,IN
421,kosjeric,44,20,78.39,35.0,1.0,5.84,3197622,1627132841,RS
423,ibicui,-15,-40,74.53,47.0,19.0,9.51,3460542,1627132842,BR
424,richard toll,17,-16,87.58,43.0,7.0,9.33,2376898,1627132842,MR
427,vadso,70,29,51.42,88.0,100.0,25.57,777032,1627132843,NO
428,sao raimundo nonato,-9,-43,77.63,48.0,18.0,12.03,3388145,1627132843,BR
429,hukuntsi,-25,21,66.45,15.0,0.0,9.42,933657,1627132844,BW
430,tiznit,27,-9,110.84,8.0,0.0,10.63,2476301,1627132844,DZ
431,macapa,0,-51,86.18,79.0,40.0,8.05,3396016,1627132844,BR
432,saint augustine,30,-81,83.21,78.0,89.0,16.08,4176509,1627132844,US
434,semey,50,79,87.12,28.0,7.0,8.01,1520885,1627132845,KZ
435,roswell,34,-105,67.91,64.0,100.0,11.45,5475934,1627132845,US
436,kapuskasing,50,-82,61.12,97.0,100.0,11.7,5989403,1627132845,CA
437,bataipora,-22,-53,75.34,31.0,0.0,10.47,3467820,1627132846,BR
438,ozgon,41,73,96.89,9.0,0.0,10.74,1528249,1627132846,KG
439,nipawin,54,-103,64.74,62.0,0.0,9.55,5933900,1627132846,CA
440,keti bandar,23,67,83.19,83.0,100.0,15.43,1174451,1627132847,PK
441,basco,21,123,83.55,88.0,17.0,33.67,1726302,1627132847,PH
442,shar,49,82,79.41,37.0,48.0,11.05,1525223,1627132847,KZ
443,barra do bugres,-15,-57,83.44,32.0,6.0,6.78,3470718,1627132847,BR
445,tsabong,-27,22,63.63,21.0,0.0,13.78,932987,1627132848,BW
446,shetpe,45,53,92.73,39.0,89.0,20.8,608402,1627132848,KZ
447,palana,60,160,48.63,99.0,100.0,6.55,2122262,1627132848,RU
448,dicabisagan,17,123,85.53,81.0,100.0,21.7,1715015,1627132849,PH
449,litovko,49,135,80.19,70.0,100.0,1.43,2020738,1627132849,RU
450,tashtyp,53,90,68.56,83.0,100.0,2.42,1490036,1627132849,RU
451,maloshuyka,63,38,57.18,47.0,100.0,9.51,551877,1627132849,RU
452,nevers,47,3,74.79,50.0,82.0,9.24,3022943,1627132850,FR
453,charagua,-19,-62,79.12,39.0,0.0,15.05,3867395,1627132850,PY
454,okakarara,-21,18,70.2,6.0,0.0,12.19,3371209,1627132850,NA
456,santo antonio do sudoeste,-26,-54,67.19,36.0,0.0,6.8,3478366,1627132851,BR
457,ridgecrest,36,-118,61.66,31.0,50.0,3.29,5401000,1627132851,US
458,karur,11,78,85.12,59.0,100.0,20.85,1255053,1627132851,IN
459,yar-sale,66,71,64.45,51.0,100.0,10.78,1498087,1627132852,RU
460,kijang,0,104,85.53,72.0,10.0,10.65,1639286,1627132852,ID
461,benicarlo,40,1,78.33,85.0,6.0,10.54,3113860,1627132852,ES
462,manono,-8,27,91.56,22.0,19.0,7.52,205297,1627132853,CD
463,dauphin,52,-100,62.42,68.0,0.0,15.01,5962890,1627132853,CA
464,dien bien,22,102,69.48,98.0,55.0,1.5,1653894,1627132853,LA
465,rock sound,25,-76,81.93,74.0,88.0,11.18,3830951,1627132853,BS
466,sungairaya,0,107,84.27,76.0,98.0,18.63,1996551,1627132854,ID
467,jabiru,-13,132,69.57,76.0,97.0,5.06,7839375,1627132854,AU
468,san francisco,-31,-63,60.19,57.0,7.0,11.5,3849557,1627132854,AR
469,suoyarvi,62,33,63.64,39.0,100.0,5.97,563407,1627132854,RU
473,raga,9,25,88.56,43.0,92.0,5.68,373413,1627132855,SS
474,saquena,-5,-73,73.06,71.0,98.0,1.54,3692020,1627132856,PE
475,kirya,55,47,65.17,63.0,100.0,6.87,548302,1627132856,RU
476,volokolamsk,56,36,66.85,39.0,62.0,6.04,472433,1627132856,RU
477,melo,-32,-54,68.95,65.0,3.0,7.07,3473204,1627132857,BR
478,sinaloa,26,-108,73.18,93.0,0.0,4.38,3983032,1627132857,MX
480,mlowo,-8,33,82.13,20.0,7.0,8.9,154375,1627132857,TZ
482,anchorage,60,-149,48.85,90.0,98.0,5.03,5873776,1627132858,US
483,diapaga,12,2,81.75,62.0,100.0,11.52,2361373,1627132858,BF
484,garden city,44,-116,50.34,30.0,0.0,4.59,5596462,1627132858,US
485,kampong chhnang,12,105,82.44,74.0,100.0,9.66,1826603,1627132859,KH
486,suntar,62,116,73.89,46.0,100.0,10.27,2015913,1627132859,RU
487,dryden,51,-93,62.26,42.0,0.0,10.09,5944935,1627132859,CA
488,iwaki,37,141,76.37,90.0,0.0,1.66,2112539,1627132859,JP
489,kopychyntsi,49,26,76.21,53.0,100.0,3.09,705016,1627132860,UA
490,potgietersrus,-24,29,58.93,17.0,0.0,8.77,964315,1627132860,ZA
491,steamboat springs,40,-107,50.74,76.0,100.0,0.67,5424152,1627132860,US
492,chanute,38,-95,78.17,89.0,11.0,9.33,4268552,1627132860,US
493,malinyi,-9,36,84.0,34.0,63.0,1.32,155016,1627132861,TZ
494,warmbad,-25,28,61.47,19.0,0.0,8.95,941966,1627132861,ZA
495,curvelo,-19,-44,66.34,48.0,2.0,7.09,3459933,1627132861,BR
496,poum,-19,164,76.17,85.0,49.0,9.69,2138555,1627132861,NC
498,sanming,26,118,72.09,95.0,100.0,2.42,1817062,1627132862,CN
499,erie,40,-105,67.51,74.0,1.0,0.0,5576859,1627132709,US
502,tanabe,33,135,79.95,79.0,100.0,11.77,1851383,1627132863,JP
503,zhireken,53,118,54.84,95.0,95.0,3.2,2012510,1627132863,RU
504,qingyuan,24,113,81.01,78.0,22.0,3.58,1917133,1627132863,CN
505,wakkanai,45,140,72.93,94.0,14.0,10.78,2130316,1627132864,JP
506,boissevain,49,-100,62.82,39.0,0.0,10.54,5061876,1627132864,US
507,landsberg,48,11,77.36,58.0,100.0,4.34,2861322,1627132864,DE
508,hoquiam,47,-124,57.47,71.0,90.0,0.0,5797693,1627132864,US
509,tekari,25,85,86.32,67.0,99.0,9.64,1254797,1627132865,IN
510,kurumkan,55,111,49.5,69.0,1.0,6.42,2014243,1627132865,RU
512,chocaman,19,-97,60.96,54.0,3.0,5.64,3530778,1627132865,MX
513,jiaonan,36,120,81.28,83.0,100.0,2.06,1792087,1627132866,CN
514,viljoenskroon,-27,27,58.03,19.0,0.0,7.87,943960,1627132866,ZA
515,jinotega,13,-86,69.24,94.0,75.0,18.41,3615877,1627132866,NI
517,koygorodok,61,51,59.43,37.0,100.0,10.56,473263,1627132867,RU
518,kawambwa,-10,29,81.75,20.0,0.0,9.71,176555,1627132867,ZM
519,chabahar,26,61,101.41,35.0,99.0,11.83,1161724,1627132867,IR
521,lahat,-5,103,83.19,74.0,100.0,13.38,7863189,1627132868,ID
522,huancayo,-12,-75,41.13,43.0,0.0,3.06,3944223,1627132868,PE
523,pyaozerskiy,66,31,55.69,59.0,100.0,12.88,506691,1627132868,RU
524,syedove,47,38,80.51,40.0,0.0,3.31,712181,1627132868,UA
526,sychevka,56,34,64.29,51.0,100.0,3.67,485280,1627132869,RU
527,songjianghe,42,128,60.12,73.0,72.0,2.01,2035840,1627132869,CN
530,kassala,15,36,72.73,96.0,100.0,14.34,344211,1627132870,ER
531,chunskiy,56,100,68.16,61.0,0.0,4.32,1507636,1627132870,RU
533,yatou,38,124,80.31,80.0,21.0,3.29,1879029,1627132871,KP
534,bata,2,10,78.64,80.0,48.0,7.99,2309096,1627132871,GQ
535,ghanzi,-21,21,71.2,17.0,0.0,8.55,933644,1627132871,BW
536,mpika,-12,32,65.16,73.0,100.0,7.38,905846,1627132871,ZM
537,bulgan,48,104,66.02,65.0,100.0,10.47,2029117,1627132872,MN
538,dawlatabad,37,67,104.05,8.0,0.0,10.98,1142776,1627132872,AF
541,ellisras,-24,28,60.22,18.0,0.0,9.53,945142,1627132873,ZA
542,porto velho,-9,-64,82.22,43.0,58.0,1.41,3662762,1627132873,BR
543,garh maharaja,31,72,107.31,26.0,48.0,6.73,1178841,1627132873,PK
544,cortez,37,-109,66.96,65.0,30.0,5.03,5489698,1627132873,US
545,tahta,25,29,99.05,15.0,0.0,15.37,360483,1627132874,EG
546,tongzi,28,107,70.07,91.0,13.0,3.0,1792516,1627132874,CN
547,kunya,56,31,73.36,32.0,33.0,5.66,477774,1627132874,RU
548,umm durman,16,31,96.42,29.0,100.0,10.45,366755,1627132875,SD
549,gomel,53,31,76.78,46.0,53.0,7.16,629390,1627132875,BY
550,bucyrus,41,-83,71.33,84.0,27.0,10.33,5171643,1627132875,US
551,tawkar,18,38,88.52,51.0,99.0,24.47,366323,1627132875,SD
552,rzeszow,50,22,81.1,41.0,0.0,3.0,858788,1627132876,PL
553,shalakusha,62,40,60.58,40.0,100.0,9.31,495983,1627132876,RU
554,twentynine palms,35,-116,81.48,34.0,100.0,1.79,5391726,1627132876,US
555,macamic,48,-79,62.56,70.0,100.0,9.33,6139012,1627132876,CA
556,rudsar,38,51,82.15,75.0,15.0,12.41,118191,1627132877,IR
558,spas-klepiki,55,40,65.43,53.0,100.0,4.92,551152,1627132877,RU
559,nazarovo,56,90,77.09,68.0,75.0,1.01,1497951,1627132877,RU
562,caticlan,12,122,82.63,79.0,100.0,23.24,1689515,1627132878,PH
563,barrhead,54,-115,52.36,66.0,94.0,6.58,6126200,1627132878,CA
564,heyang,30,106,84.67,82.0,0.0,4.56,1808212,1627132879,CN
565,marystown,47,-55,56.77,90.0,100.0,11.95,6140842,1627132879,CA
566,riga,57,24,71.55,35.0,0.0,10.36,460885,1627132879,LV
567,ishim,56,70,78.53,66.0,100.0,6.69,1505453,1627132879,RU
568,calvia,40,2,79.41,79.0,6.0,8.86,2517827,1627132880,ES
569,padilla,-19,-64,69.48,43.0,0.0,4.25,6621218,1627132880,BO
570,tonneins,44,0,78.73,49.0,96.0,10.04,6433839,1627132880,FR
571,abalak,17,5,91.09,37.0,9.0,13.11,2439374,1627132880,NE
572,leskovac,43,22,83.17,35.0,0.0,8.34,788709,1627132881,RS
574,tramandai,-30,-50,61.05,71.0,0.0,2.06,3446232,1627132881,BR
575,nador,33,-3,95.47,9.0,96.0,8.55,2597553,1627132881,MA
576,pingxiang,28,114,75.56,85.0,0.0,1.95,1814743,1627132882,CN
577,mombetsu,45,144,66.09,90.0,8.0,1.05,2129163,1627132882,JP
578,aranos,-24,19,67.95,8.0,0.0,11.21,3358666,1627132882,NA
579,constanza,19,-71,54.72,66.0,64.0,1.99,3499574,1627132882,DO
580,makhachkala,44,48,78.37,71.0,6.0,10.92,486398,1627132883,RU
582,sevlievo,43,25,80.11,36.0,92.0,5.46,732800,1627132883,BG
583,yerofey pavlovich,53,122,59.88,91.0,21.0,2.28,6958004,1627132883,CN
584,aurillac,45,3,58.17,53.0,3.0,8.61,3022886,1627132832,FR
585,ijsselstein,52,5,70.79,79.0,100.0,1.01,2745961,1627132884,NL
586,balad,34,44,113.79,10.0,0.0,11.3,98112,1627132884,IQ
587,lengshuitan,26,111,78.75,83.0,2.0,4.97,1797352,1627132884,CN
589,makaryev,58,44,65.01,33.0,71.0,5.21,506391,1627132885,RU
590,severnyy,70,65,47.73,76.0,57.0,22.41,1544819,1627132885,RU
592,taksimo,56,115,49.46,79.0,100.0,8.28,2015701,1627132886,RU
594,rawson,-51,-57,41.25,82.0,5.0,24.49,3426691,1627132886,FK
595,lahij,14,46,68.86,83.0,100.0,6.24,72557,1627132886,YE
596,sanchor,25,71,96.53,43.0,48.0,14.76,1257477,1627132887,IN
597,pawayan,28,80,90.57,64.0,36.0,6.31,1260003,1627132887,IN
598,chornukhy,50,33,80.08,36.0,17.0,7.34,702723,1627132887,UA
599,dno,58,30,67.53,51.0,100.0,6.53,565885,1627132887,RU
600,san miguel,8,-79,80.49,80.0,100.0,7.09,3709361,1627132888,PA
601,barsovo,61,73,62.89,93.0,100.0,7.58,1504368,1627132888,RU
602,skjaerhollen,59,11,79.83,70.0,11.0,10.42,3138976,1627132888,NO
603,ossora,60,163,52.97,89.0,100.0,2.08,2122389,1627132888,RU
604,at-bashi,41,77,59.36,20.0,3.0,12.77,1527592,1627132889,KG
605,cervo,45,-7,65.73,89.0,18.0,23.11,3128698,1627132889,ES
606,tselinnoye,53,86,69.93,90.0,16.0,5.03,1489138,1627132889,RU
608,mbandaka,0,18,97.56,25.0,100.0,4.97,2312895,1627132890,CD
609,tula,23,-100,65.32,64.0,6.0,2.71,3515068,1627132890,MX
610,atasu,48,73,89.06,17.0,0.0,4.9,1526601,1627132890,KZ
612,storsteinnes,69,19,57.16,82.0,75.0,9.22,3140881,1627132891,NO
613,san rafael,-17,-60,80.89,36.0,0.0,5.35,3919352,1627132891,BO
614,larsnes,63,5,57.45,91.0,96.0,7.9,3134955,1627132891,NO
615,kilis,37,37,92.95,13.0,0.0,12.57,304078,1627132891,TR
616,gravdal,70,13,51.69,91.0,100.0,7.18,6453318,1627132892,NO
617,mujiayingzi,44,117,63.48,91.0,100.0,7.7,8054802,1627132892,CN
619,kulevcha,46,30,82.33,35.0,0.0,7.4,705442,1627132892,UA
620,makokou,0,13,78.48,41.0,100.0,2.64,2396926,1627132893,GA
621,omsukchan,62,156,51.15,92.0,100.0,2.95,2122493,1627132893,RU
622,bam,30,58,111.42,6.0,0.0,14.88,128231,1627132893,IR
623,carmarthen,52,-4,67.8,75.0,88.0,13.0,2643947,1627132893,GB
624,ust-tsilma,67,50,46.69,83.0,100.0,22.97,475936,1627132894,RU
625,buraydah,26,42,109.24,8.0,23.0,11.97,396460,1627132894,SA
628,nouakchott,18,-17,73.83,78.0,11.0,6.91,2377450,1627132895,MR
631,makhu,31,75,100.67,38.0,34.0,4.92,7645176,1627132895,IN
632,boali,5,18,83.14,58.0,100.0,4.81,2383765,1627132896,CF
633,funadhoo,6,73,82.83,72.0,100.0,8.52,1337620,1627132896,MV
634,longlac,50,-86,65.5,97.0,100.0,5.84,6085647,1627132896,CA
635,montepuez,-13,39,77.95,32.0,20.0,13.02,1037125,1627132896,MZ
636,thouars,47,0,74.41,50.0,99.0,17.47,2997457,1627132897,FR
637,obluche,49,131,72.05,62.0,100.0,2.75,2022454,1627132897,RU
642,sembe,1,14,90.63,37.0,83.0,2.62,2400033,1627132898,GA
643,pilar,10,127,86.43,76.0,10.0,16.02,1713046,1627132898,PH
644,ila,8,5,73.35,80.0,100.0,5.12,2337765,1627132899,NG
645,zhanatas,45,71,102.02,11.0,0.0,3.62,1523563,1627132899,KZ
646,dargaville,-37,173,57.63,80.0,35.0,24.9,2186363,1627132899,NZ
647,chippewa falls,45,-91,67.17,97.0,100.0,6.78,5274473,1627132899,US
648,pak phanang,9,101,84.63,71.0,100.0,5.39,1608033,1627132900,TH
649,hvide sande,56,7,63.21,79.0,0.0,6.46,2619537,1627132900,DK
650,terrak,65,12,55.96,64.0,93.0,3.96,7626390,1627132900,NO
651,nara,16,-8,98.49,28.0,57.0,7.83,2377539,1627132900,MR
653,marshall,45,-96,71.62,88.0,1.0,0.0,5023932,1627132901,US
654,calafat,44,23,87.75,27.0,35.0,9.08,683034,1627132901,RO
655,georgiyevka,44,75,92.75,15.0,0.0,17.02,1518598,1627132901,KZ
656,koslan,63,49,48.56,77.0,100.0,9.08,527299,1627132902,RU
657,weyburn,49,-104,61.88,41.0,0.0,6.38,6095279,1627132902,CA
658,ye,15,97,81.57,86.0,100.0,17.43,1317402,1627132902,MM
659,el wasta,29,32,93.52,21.0,0.0,13.96,7521348,1627132902,EG
660,lukovetskiy,65,42,49.15,81.0,100.0,8.32,509483,1627132903,RU
661,lusambo,-5,24,95.11,18.0,7.0,6.55,210379,1627132903,CD
662,wittlich,50,7,70.97,81.0,40.0,9.22,2890873,1627132903,DE
663,uarini,-3,-65,78.85,95.0,100.0,1.54,3661756,1627132904,BR
664,kasempa,-14,26,75.11,34.0,15.0,12.44,912628,1627132904,ZM
665,bereda,12,54,77.97,79.0,10.0,37.31,6940758,1627132904,YE
666,lodja,-2,22,98.35,18.0,16.0,3.11,211384,1627132904,CD
668,kalmar,56,17,67.17,64.0,48.0,11.63,2675691,1627132905,SE
669,asimion,35,25,81.9,28.0,0.0,23.15,264083,1627132905,GR
670,yakeshi,48,121,56.3,95.0,0.0,3.51,2035732,1627132905,CN
671,terme,41,37,73.56,64.0,66.0,9.1,749518,1627132906,TR
672,uruzgan,33,67,74.8,19.0,100.0,1.32,1137359,1627132906,AF
673,rapid valley,44,-103,71.49,63.0,1.0,12.66,5768244,1627132906,US
675,poso,-2,120,57.87,100.0,95.0,2.82,1635984,1627132907,ID
677,suamico,45,-88,71.92,100.0,90.0,0.0,5265518,1627132907,US
678,azul,-37,-60,47.03,58.0,100.0,13.96,3835289,1627132907,AR
679,dzhebariki-khaya,62,136,61.41,96.0,100.0,3.24,2024626,1627132908,RU
681,kholtoson,50,103,61.02,82.0,100.0,3.13,2028933,1627132908,MN
683,corpus christi,-24,-55,70.75,44.0,0.0,10.2,3438816,1627132909,PY
684,iberia,-11,-70,75.58,54.0,0.0,1.21,3938531,1627132909,PE
685,borgarnes,65,-22,60.71,97.0,100.0,8.79,3426184,1627132909,IS
686,orange,-33,149,45.23,93.0,100.0,17.92,2161561,1627132910,AU
689,dasoguz,41,60,107.94,7.0,0.0,6.69,1513604,1627132910,UZ
691,kyra,50,111,47.34,82.0,5.0,0.83,2021041,1627132911,RU
692,poyarkovo,49,129,72.93,83.0,100.0,4.72,2017705,1627132911,RU
693,nynashamn,59,18,77.41,51.0,100.0,10.85,2686153,1627132911,SE
694,wentzville,39,-91,79.61,87.0,1.0,6.67,4412089,1627132912,US
695,azar shahr,38,46,99.21,12.0,5.0,6.2,35056,1627132912,IR
697,xapuri,-10,-69,79.23,50.0,1.0,2.24,3924674,1627132912,BR
698,dumas,36,-102,68.52,77.0,1.0,5.75,5518084,1627132912,US
699,melivoia,40,23,85.48,57.0,0.0,11.21,257282,1627132913,GR
700,viseu,0,-46,82.11,76.0,15.0,16.13,3402648,1627132913,BR
701,bahir dar,12,37,66.76,83.0,100.0,13.24,339540,1627132913,ET
702,dubna,54,37,68.72,43.0,9.0,7.7,542942,1627132913,RU
703,baturaja,-4,105,75.18,75.0,11.0,7.25,1622685,1627132914,ID
704,macia,-25,33,66.34,51.0,96.0,13.4,1024701,1627132914,MZ
705,fatehpur,31,71,108.03,21.0,89.0,3.69,1172035,1627132914,PK
706,solnechnyy,59,140,54.93,96.0,100.0,5.91,2125742,1627132915,RU
709,stornoway,59,-7,57.09,91.0,15.0,9.1,2649966,1627132916,GB
710,san alberto,-25,-55,69.75,38.0,0.0,12.88,3437136,1627132916,PY
711,siocon,8,121,83.73,79.0,100.0,13.58,1686123,1627132916,PH
712,jiwani,25,62,82.65,85.0,100.0,13.42,1336509,1627132916,PK
713,cabanas,24,-83,83.01,73.0,12.0,5.64,3566573,1627132917,CU
715,sidi ali,37,0,76.89,85.0,100.0,8.95,2516169,1627132917,ES
716,plastun,45,136,69.75,95.0,100.0,2.42,2017912,1627132917,RU
717,marathon,25,-81,80.46,69.0,100.0,6.69,4163379,1627132918,US
718,meadow lake,55,-107,60.01,65.0,16.0,11.18,5896578,1627132918,CA
719,jaipur hat,25,89,84.09,81.0,27.0,9.13,1337166,1627132918,BD
720,lebanon,36,-86,74.84,85.0,4.0,2.59,4666102,1627132918,US
721,marquette,46,-88,67.86,100.0,100.0,1.7,4994408,1627132919,US
723,kaoma,-15,25,78.58,28.0,37.0,14.97,898586,1627132919,ZM
725,caraquet,47,-65,61.9,71.0,100.0,4.05,7302876,1627132920,CA
728,wainwright,53,-111,52.92,56.0,5.0,12.03,5983858,1627132921,CA
729,boquira,-13,-43,72.27,46.0,1.0,8.52,3458237,1627132921,BR
730,iquique,-20,-69,36.61,24.0,55.0,2.21,3870116,1627132921,CL
731,hongjiang,27,110,76.28,92.0,99.0,2.75,1797023,1627132922,CN
732,hope mills,35,-79,77.36,76.0,1.0,1.01,4471851,1627132922,US
733,chililabombwe,-12,28,73.96,39.0,48.0,17.74,922944,1627132922,CD
734,kayes,15,-11,96.06,37.0,100.0,8.99,2448489,1627132923,ML
735,puerto del rosario,27,-12,95.45,26.0,0.0,8.1,2461874,1627132923,EH
736,de-kastri,51,141,59.97,99.0,100.0,16.4,2126018,1627132923,RU
737,halmstad,57,13,75.09,69.0,99.0,5.5,2667757,1627132923,SE
739,landau,49,8,80.92,59.0,95.0,5.21,6555220,1627132924,DE
740,upington,-29,20,60.04,11.0,9.0,16.98,945945,1627132924,ZA
741,gimli,52,-98,65.43,63.0,8.0,12.24,5968689,1627132924,CA
742,sukumo,32,133,80.49,77.0,100.0,19.26,1851462,1627132925,JP
744,alamosa,37,-106,57.88,82.0,4.0,5.03,5417805,1627132925,US
745,linxia,34,104,67.84,94.0,7.0,3.67,7326271,1627132925,CN
746,sungai udang,2,102,82.51,71.0,63.0,9.31,1761242,1627132926,MY
748,mecca,22,42,102.99,12.0,99.0,5.01,409993,1627132926,SA
749,brynmawr,52,-3,64.09,77.0,100.0,10.07,2643925,1627132927,GB
750,arkadelphia,34,-93,78.93,95.0,11.0,3.18,4128362,1627132927,US
751,nosy varika,-21,49,71.49,83.0,100.0,28.21,1058080,1627132927,MG
754,cangzhou,38,117,83.17,67.0,30.0,4.38,1816080,1627132928,CN
755,surt,30,18,91.6,25.0,0.0,15.05,2210553,1627132928,LY
756,tuyen quang,22,105,83.43,73.0,47.0,0.78,1559976,1627132929,VN
757,chimoio,-19,34,67.05,29.0,100.0,10.71,1040947,1627132929,MZ
758,manicore,-7,-61,85.73,47.0,95.0,3.67,3663503,1627132929,BR
759,akropong,6,0,89.8,41.0,51.0,9.48,2297816,1627132929,GH
760,noyabrsk,63,75,56.98,96.0,100.0,13.65,1496503,1627132930,RU
762,tacna,-18,-70,35.04,19.0,7.0,2.3,3928128,1627132930,PE
763,mercedes,-29,-58,69.19,60.0,6.0,13.13,3435214,1627132930,AR
764,enid,37,-98,76.08,67.0,13.0,8.37,4267605,1627132931,US
766,fevralsk,53,131,64.58,97.0,98.0,3.53,2024261,1627132931,RU
767,buenos aires,15,-89,71.85,95.0,100.0,0.63,3614583,1627132931,HN
769,dinar,38,30,84.47,19.0,5.0,5.59,315132,1627132932,TR
770,cascais,38,-10,66.09,83.0,6.0,14.92,8010624,1627132932,PT
771,mizan teferi,7,35,68.81,96.0,100.0,1.25,327694,1627132932,ET
773,motygino,58,96,73.89,51.0,9.0,5.08,1499385,1627132933,RU
774,belokurikha,52,85,71.76,84.0,19.0,4.18,1510502,1627132933,RU
775,tres lagoas,-20,-52,78.84,29.0,0.0,12.77,3461411,1627132933,BR
776,kobojango,-22,29,64.58,31.0,3.0,18.39,933753,1627132934,BW
777,san luis,6,-75,71.96,76.0,100.0,2.08,3770066,1627132934,CO
780,pontes e lacerda,-14,-59,79.32,38.0,0.0,7.54,3474501,1627132935,BR
781,miandrivazo,-18,44,74.14,63.0,16.0,21.97,1061912,1627132935,MG
782,rancho palos verdes,33,-119,63.16,86.0,100.0,11.45,5325305,1627132935,US
784,hunza,37,75,48.27,41.0,100.0,5.32,7427939,1627132936,PK
785,kingman,36,-114,75.51,50.0,100.0,1.88,5304306,1627132936,US
787,guaruja,-24,-46,69.87,61.0,0.0,4.25,3452469,1627132936,BR
788,kadykchan,62,146,54.9,89.0,100.0,8.03,2124611,1627132936,RU
789,sangmelima,2,13,84.67,49.0,35.0,3.18,2224162,1627132937,CM
790,pemba,-13,40,79.03,30.0,50.0,13.89,1037807,1627132937,MZ
791,atikokan,48,-92,65.79,96.0,16.0,5.57,5025627,1627132937,US
792,reconquista,-29,-60,71.51,46.0,12.0,10.94,3436230,1627132937,AR
793,verkhnetulomskiy,68,32,46.69,82.0,100.0,12.75,525404,1627132938,RU
794,jatai,-18,-52,74.66,36.0,0.0,13.04,3459872,1627132938,BR
795,epernay,49,4,72.82,58.0,95.0,10.22,3035661,1627132938,FR
796,pinar del rio,23,-84,82.83,76.0,2.0,5.08,3534094,1627132938,CU
798,tocache,-8,-77,57.99,51.0,1.0,0.18,3691324,1627132939,PE
799,concepcion del uruguay,-32,-59,61.84,62.0,100.0,6.42,3434137,1627132939,AR
800,vitim,59,113,64.83,63.0,42.0,3.24,2025230,1627132939,RU
801,tabuk,29,36,97.72,14.0,0.0,4.9,101628,1627132940,SA
802,straumen,67,16,45.3,95.0,100.0,2.89,3141548,1627132940,NO
803,turayf,32,38,93.09,20.0,0.0,16.37,250583,1627132940,JO
804,azad shahr,37,55,88.95,42.0,22.0,11.81,110831,1627132940,IR
805,vychegodskiy,61,47,56.52,45.0,100.0,9.86,470530,1627132941,RU
807,svetlaya,47,138,69.17,84.0,100.0,4.5,2015852,1627132941,RU
808,southbridge,42,-72,69.15,76.0,0.0,3.94,4841217,1627132941,US
811,acuna,29,-101,75.69,78.0,0.0,13.8,3998086,1627132942,MX
812,chaozhou,24,117,82.99,82.0,13.0,3.33,1917891,1627132942,CN
813,lauria,40,16,93.31,41.0,3.0,11.36,2525089,1627132943,IT
815,riberalta,-12,-67,79.79,46.0,0.0,1.95,3908600,1627132943,BO
816,den helder,54,4,63.39,83.0,91.0,16.89,2749334,1627132943,NL
817,vikersund,60,10,82.13,29.0,17.0,6.64,3131684,1627132944,NO
819,mulege,26,-113,69.69,89.0,20.0,9.69,3986148,1627132944,MX
820,snihurivka,47,33,85.84,30.0,0.0,7.43,693379,1627132944,UA
821,kirksville,40,-93,78.73,88.0,7.0,8.01,4395447,1627132945,US
822,bulawayo,-20,29,56.77,48.0,55.0,14.74,889795,1627132945,ZW
824,stykkisholmur,66,-22,55.8,84.0,100.0,14.36,3415667,1627132945,IS
825,pokhara,31,85,56.43,42.0,100.0,6.4,1280645,1627132946,CN
826,kargil,35,76,63.45,33.0,69.0,6.06,1174094,1627132946,PK
827,lobito,-12,14,85.64,37.0,0.0,9.64,3372346,1627132946,AO
829,mala,-13,-77,61.23,83.0,81.0,13.6,3935572,1627132947,PE
833,kalomo,-17,26,74.93,29.0,0.0,10.13,920106,1627132948,ZM
834,xinyu,28,115,80.4,76.0,0.0,11.12,7690155,1627132948,CN
835,sattahip,12,101,81.03,80.0,100.0,25.95,1606386,1627132948,TH
836,duluth,47,-91,67.21,98.0,100.0,13.18,5277856,1627132949,US
837,puerto leguizamo,0,-75,70.25,98.0,100.0,2.37,3671437,1627132949,CO
838,milici,44,19,76.21,30.0,0.0,2.19,3199417,1627132949,BA
839,peque,7,-76,51.03,97.0,100.0,1.86,3672512,1627132949,CO
841,ust-bolsheretsk,53,156,52.43,97.0,100.0,8.25,2120063,1627132950,RU
842,tshane,-24,22,66.49,18.0,0.0,10.56,933548,1627132950,BW
843,novaya igirma,57,104,67.01,58.0,96.0,4.7,2019004,1627132950,RU
844,drexel heights,32,-111,70.07,90.0,100.0,2.89,5312544,1627132496,US
846,quincy,40,-91,78.04,92.0,40.0,9.22,4886464,1627132683,US
847,petrivka,47,31,82.89,33.0,0.0,5.06,697450,1627132951,UA
848,svetlyy,51,61,78.76,52.0,100.0,10.98,1490501,1627132951,RU
850,sanmenxia,34,111,72.18,90.0,0.0,4.14,1797060,1627132952,CN
852,sao miguel do araguaia,-13,-51,84.25,31.0,56.0,12.62,3448455,1627132952,BR
855,vaihingen,49,9,80.98,51.0,100.0,4.7,2832939,1627132953,DE
